不_d ,_w 12243_m 
一_m ,_w 8844_m 
有_v ,_w 7986_m 
来_v ,_w 7117_m 
为_v ,_w 6853_m 
无_v ,_w 6700_m 
在_p ,_w 6226_m 
中_f ,_w 6058_m 
上_f ,_w 5974_m 
去_v ,_w 5884_m 
是_v ,_w 5148_m 
未_d ,_w 4974_m 
人_n ,_w 4926_m 
多_a ,_w 4675_m 
与_c ,_w 4576_m 
里_f ,_w 4465_m 
得_u ,_w 4389_m 
已_d ,_w 4279_m 
还_d ,_w 4185_m 
归_v ,_w 4117_m 
更_d ,_w 4089_m 
我_r ,_w 3946_m 
向_p ,_w 3812_m 
谁_r ,_w 3777_m 
如_v ,_w 3644_m 
应_v ,_w 3593_m 
将_d ,_w 3521_m 
下_f ,_w 3455_m 
此_r ,_w 3307_m 
看_v ,_w 3296_m 
出_v ,_w 3132_m 
自_r ,_w 3063_m 
见_v ,_w 2934_m 
花_n ,_w 2930_m 
新_a ,_w 2887_m 
到_v ,_w 2871_m 
亦_d ,_w 2830_m 
尽_v ,_w 2690_m 
同_v ,_w 2623_m 
入_v ,_w 2622_m 
欲_e ,_w 2580_m 
似_g ,_w 2577_m 
过_u ,_w 2569_m 
深_a ,_w 2515_m 
开_v ,_w 2499_m 
能_v ,_w 2497_m 
起_f ,_w 2380_m 
前_f ,_w 2361_m 
从_p ,_w 2354_m 
远_a ,_w 2301_m 
难_a ,_w 2269_m 
满_a ,_w 2231_m 
后_f ,_w 2227_m 
愁_v ,_w 2172_m 
三_m ,_w 2118_m 
因_p ,_w 2010_m 
天_n ,_w 1998_m 
好_a ,_w 1991_m 
却_d ,_w 1972_m 
水_n ,_w 1972_m 
共_d ,_w 1945_m 
几_m ,_w 1937_m 
相_g ,_w 1937_m 
回_v ,_w 1936_m 
长_a ,_w 1931_m 
成_v ,_w 1928_m 
知_v ,_w 1918_t 
犹_d ,_w 1864_m 
君_g ,_w 1849_m 
闻_v ,_w 1818_m 
又_d ,_w 1814_m 
飞_v ,_w 1814_m 
山_n ,_w 1804_m 
重_a ,_w 1804_m 
曾_d ,_w 1782_m 
对_a ,_w 1780_m 
岂_e ,_w 1771_m 
随_v ,_w 1768_m 
春_g ,_w 1711_m 
千_m ,_w 1673_m 
朝_j ,_w 1666_m 
地_n ,_w 1650_m 
家_n ,_w 1649_m 
梦_n ,_w 1639_m 
雪_n ,_w 1633_m 
只_q ,_w 1627_m 
所_n ,_w 1624_m 
云_n ,_w 1619_m 
作_v ,_w 1577_m 
风_n ,_w 1574_m 
旧_a ,_w 1570_m 
酒_n ,_w 1555_m 
醉_v ,_w 1542_m 
雨_n ,_w 1514_m 
何处_r ,_w 1492_m 
望_v ,_w 1490_m 
两_m ,_w 1486_m 
坐_v ,_w 1479_m 
树_n ,_w 1478_m 
路_n ,_w 1465_m 
高_a ,_w 1454_m 
可_v ,_w 1448_m 
岁_q ,_w 1441_m 
老_a ,_w 1431_m 
吹_v ,_w 1431_m 
且_c ,_w 1409_m 
和_c ,_w 1405_m 
何_r ,_w 1391_m 
当_v ,_w 1386_m 
近_a ,_w 1373_m 
须_g ,_w 1373_m 
问_v ,_w 1363_m 
少_a ,_w 1354_m 
秋_g ,_w 1331_m 
别_v ,_w 1325_m 
虽_c ,_w 1324_m 
送_v ,_w 1289_m 
初_f ,_w 1285_m 
皆_d ,_w 1285_m 
万_m ,_w 1258_m 
事_n ,_w 1250_m 
寄_v ,_w 1229_m 
若_v ,_w 1217_m 
离_v ,_w 1209_m 
留_v ,_w 1194_m 
外_f ,_w 1183_m 
落_v ,_w 1165_m 
使_v ,_w 1158_m 
身_g ,_w 1155_m 
正_a ,_w 1153_m 
行_v ,_w 1131_m 
空_v ,_w 1120_m 
轻_a ,_w 1116_m 
听_v ,_w 1109_m 
不知_v ,_w 1106_m 
才_n ,_w 1094_m 
至_v ,_w 1092_m 
诗_n ,_w 1091_m 
逢_v ,_w 1075_m 
独_a ,_w 1051_m 
书_n ,_w 1044_m 
心_n ,_w 1040_m 
今日_t ,_w 1038_m 
半_m ,_w 1020_m 
南_f ,_w 1018_m 
道_v ,_w 1018_m 
早_a ,_w 1018_m 
夜_g ,_w 1016_m 
便_d ,_w 1014_m 
莫_d ,_w 1013_m 
绿_a ,_w 1008_m 
楼_n ,_w 1004_m 
晚_g ,_w 1000_m 
清_a ,_w 979_m 
寻_v ,_w 978_m 
说_v ,_w 975_m 
边_f ,_w 974_m 
愿_v ,_w 965_m 
连_n ,_w 965_m 
隔_v ,_w 959_m 
小_a ,_w 957_m 
间_f ,_w 950_m 
春风_n ,_w 939_m 
香_n ,_w 925_m 
暮_g ,_w 922_m 
之_r ,_w 912_m 
即_v ,_w 906_m 
乱_a ,_w 905_m 
五_m ,_w 903_m 
非_g ,_w 901_m 
先_d ,_w 879_m 
爱_v ,_w 878_m 
仍_d ,_w 873_m 
但_c ,_w 871_m 
